from	to
function|sensor|light	6964
awards|part_collection|2017	43669
chassis|eukaryote|human	21669
viral_vectors|aav|capsid_coding	18939
chassis|eukaryote|athaliana	32225
chassis|prokaryote|ecoli	13174
chassis|prokaryote|ecoli	9857
biosafety|kill_switch	33046
direction|forward	36787
chassis|aferrooxidans	49996
cds|membrane|receptor	53789
cds|enzyme	37042
function|biosynthesis|phycocyanobilin	28514
cds	34287
proteindomain|internal	69832
function|reporter|fluorescence	30559
function|reporter|fluorescence	19015
direction|forward	10366
cds|membrane|lysis	37019
classic|composite|uncategorized	5261
collections|chromoprotein|uppsala	28832
classic|regulatory|uncategorized	6069
classic|regulatory|other	31832
chassis|eukaryote|nbenthamiana	36688
rnap|prokaryote|ecoli|sigma70	16603
dna|restrictionsite	15724
chassis|eukaryote|human	19455
cds	69137
chassis|prokaryote	73817
chassis|prokaryote|ecoli	11937
plasmid|construction	32477
direction|forward	7280
chassis|bacteriophage	46608
chassis|miscellaneous	10516
function|reporter|fluorescence	12747
classic|reporter|pret	15695
proteindomain|binding	17734
cds|enzyme	21511
function|recombination	26180
plasmidbackbone|version|3	4740
chassis|eukaryote	22198
cds|receptor|antibody	46222
cds	48832
classic|inverter|uncategorized	2128
DNA|transposon	7437
function|biosynthesis|ahl	11068
collections|biofab	48218
awards|basic_part	78559
function|cellsignalling|LuxR	11489
cds|transcriptionalregulator	32064
classic|intermediate|uncategorized	6183
cds	25984
chassis|prokaryote|ecoli	4989
chassis|organelle|mitochondrion	26789
function|recombination|lambda	12163
classic|measurement|uncategorized	2920
function|regulation|transcriptional	23611
collections|immune_regulation|devices	54669
function|reporter	37343
chassis|eukaryote|human	39053
function|regulation|transcriptional	10164
function|degradation	46176
dna|scar	9261
plasmid|component|origin	27458
chassis|prokaryote|ecoli	61261
chassis|prokaryote|ecoli	36788
collections|biofab|promoter	47768
classic|regulatory|uncategorized	21021
cds|enzyme	19298
function|biosynthesis|plastic	11711
function|biosynthesis	11928
chassis|prokaryote|ecoli	37865
chassis|prokaryote|bsubtilis	25419
rnap|bacteriophage|t3	42039
function|reporter|fluorescence	29117
ribosome|prokaryote|ecoli	7469
proteindomain|localization	18029
chassis|eukaryote|human	19426
direction|forward	9857
classic|measurement|o_h	4600
chassis|prokaryote	73803
function|cellsignalling|LuxR	23644
ribosome|prokaryote|ecoli	6713
regulation|negative	4766
chassis|prokaryote|bsubtilis	59960
classic|signalling|sender	4771
chassis|eukaryote|yeast	13279
viral_vectors|aav	19455
chassis|eukaryote|human	18942
proteindomain|linker	52911
cds|reporter|chromoprotein	22517
awards|basic_part	77877
function|regulation|transcriptional	16236
cds	32401
classic|regulatory|other	33709
terminator|single	146
cds|enzyme	6928
promoter	10643
function|regulation|transcriptional	22070
chassis|prokaryote|ecoli	32393
terminator	34720
function|motility	25784
function|reporter|color	34343
function|degradation|cellulose	23094
cds|enzyme	12280
function|biosynthesis|isoprenoid	18339
chassis|prokaryote|ecoli	8676
awards|part_collection|2015	35696
collections|biofab|terminator	60040
function|reporter|fluorescence	35790
promoter	199
cds|reporter	39131
proteindomain|dnabinding	26964
dna	41888
cds|reporter|gfp	32316
chassis|eukaryote	29896
chassis|prokaryote|bsubtilis	30985
chassis|eukaryote|nbenthamiana	36682
direction|forward	22192
proteindomain|binding	50632
chassis|bacteriophage|T7	8340
proteindomain|tail	14554
awards|basic_part	77873
function|reporter|color	54588
viral_vectors|aav|capsid_coding	19513
dna|spacer	69857
rnap|prokaryote|ecoli|sigma70	9804
cds|membrane|extracellular	64766
regulation|multiple	34127
classic|composite|uncategorized	5427
cds	29485
direction|forward	33691
direction|forward	4989
rnap|prokaryote|ecoli|sigmaS	13179
cds|membrane|pump	12449
regulation	35860
classic|composite|uncategorized	4708
promoter	50889
promoter	8170
classic|project|uncategorized	3969
function|reporter|color	12773
cds	70217
classic|composite|uncategorized	4943
chassis|prokaryote|pananatis	10366
cds	69185
rnap|prokaryote|ecoli|sigma70	9846
chassis|organelle|chloroplast	65162
chassis|eukaryote|yeast	37902
chassis|prokaryote|ecoli	192
collections|biofab|terminator	60105
function|regulation|transcriptional	22075
function|cellsignalling	3893
classic|project|uncategorized	3976
chassis|organelle|mitochondrion	26172
chassis|prokaryote|pputida	29307
chassis|eukaryote|nbenthamiana	39555
chassis|prokaryote|ecoli	16484
cds	67588
function|reporter|fluorescence	27504
classic|temporary|uncategorized	5616
promoter	12077
function|recombination|hin	7672
dna	41898
cds|membrane	36285
function|recombination|flp	29992
function|dna	24591
collections|probiotics|control	28813
chassis|prokaryote|ecoli	47149
chassis|prokaryote|ecoli	32125
chassis|prokaryote|ecoli	39530
awards|part_collection	43365
cds|transcriptionalregulator	31999
plasmidbackbone|assembly|typeiis	61665
classic|reporter|ret	2679
awards|part_collection|2016	40134
direction|forward	8676
classic|inverter|uncategorized	2127
classic|temporary|uncategorized	5769
cds|enzyme	21510
collections|biofab|promoter|modular	47759
classic|regulatory|uncategorized	15732
function|reporter	5457
cds|enzyme|ligase	12269
chassis|prokaryote|bsubtilis	48347
plasmid|expression|t7 transcriptional	61639
rbs|prokaryote|constitutive|miscellaneous	10362
regulation|positive	3903
function|reporter|fluorescence	12886
awards|part_collection|2016	41221
collections|biofilm	49420
chassis|prokaryote|bsubtilis	33311
ribosome|prokaryote|ecoli	11988
function|reporter|pigment	38528
function|biosynthesis	9441
function|motility	12421
promoter	9468
chassis|prokaryote|ecoli	17237
proteindomain|localization	44175
awards|part_collection|2015	35695
cds|enzyme|phosphorylation	49871
regulation|negative	9791
cds	45222
promoter	4071
function|reporter|fluorescence	47711
function|reporter|fluorescence	35791
chassis|prokaryote|ecoli	6136
proteindomain|binding	26251
plasmid	8987
regulation	29903
classic|regulatory|uncategorized	4954
chassis|eukaryote|yeast	13142
cds|biosynthesis	29014
rbs|prokaryote|constitutive|community	61015
chassis|prokaryote|bsubtilis	33459
collections|biofab	47788
promoter|StressKit	13164
collections|biofab|promoter|random	59998
classic|composite|uncategorized	4824
cds|enzyme	49447
plasmidbackbone|expression|inducible	49446
chassis|prokaryote|lactobacillus	77647
function|celldeath	11726
promoter	34568
chassis|eukaryote|athaliana	20870
regulation|positive	32444
rbs|prokaryote|constitutive|constitutive	61015
collections|biofab|promoter|modular	48049
collections|biofab|promoter	47796
cds|biosynthesis	32478
chassis|prokaryote|ecoli	41880
cds	32382
promoter	16066
collections|immune_regulation|receptors	40302
plasmidbackbone|version|5	26586
function|crispr	49348
function|reporter|fluorescence	44500
function|cellsignalling regulator	32627
rnap|prokaryote|ecoli|sigma70	6833
rnap|eukaryote|yeast	13265
classic|intermediate|uncategorized	5689
collections|biofab|promoter|random	59953
rnap|prokaryote|ecoli|sigma70	11860
chassis|eukaryote|human	18972
rnap|prokaryote|ecoli|sigma70	7643
collections|biofab|promoter	48063
rnap|prokaryote|ecoli|sigma70	11297
chassis|prokaryote|bsubtilis	29565
binding|cellulose	33882
proteindomain|affinity	17723
cds|biosynthesis	33738
direction|forward	22201
direction|forward	47149
awards|part_collection|2016	39247
classic|intermediate|uncategorized	5140
chassis|prokaryote|ecoli	19015
rbs|prokaryote|constitutive|miscellaneous	8021
promoter	11977
promoter	13263
collections|immune_regulation|antibodies	40133
direction|forward	32675
DNA|nucleotide	9259
proteindomain|affinity	14786
binding|cellulose	26246
dna|aptamer	65976
cds|membrane|extracellular	15442
classic|measurement|uncategorized	4752
primer|part	63940
collections|biofab|promoter	48075
function|crispr|cas9	45451
collections|cell-free_tx-tl	44671
cds|transcriptionalregulator|activator	4675
collections|probiotics|control	11604
cds|transcriptionalregulator|repressor	34770
direction|forward	21950
direction|forward	11832
regulation|multiple	33700
function|crispr|cas9	34693
direction|forward	6136
proteindomain|binding	19430
terminator|double	29352
function|crispr|cas9	34691
cds	12165
cds|reporter|rfp	37430
chassis|prokaryote|ecoli	19323
function|regulation|transcriptional	29318
regulation|negative	22066
collections|biofab|promoter|random	59948
chassis|prokaryote|bsubtilis	33273
promoter	34589
function|sensor	35635
rnap|prokaryote|ecoli|sigma70	9492
awards|basic_part	64952
chassis|prokaryote|ecoli	21024
proteindomain|affinity	14563
classic|reporter|pret	7667
chassis|prokaryote|ecoli	23151
function|degradation	26217
chassis|eukaryote	50912
function|cellsignalling	32383
dna	53235
cds|reporter|rfp	60918
terminator|single	4079
promoter	65036
cds|reporter|gfp	34008
cds|chromatinremodeling	12339
cds|transcriptionalregulator|repressor	25668
binding|cellulose	34015
proteindomain|affinity	75306
cds|reporter|gfp	35790
terminator|single	17719
proteindomain|localization	12197
chassis|prokaryote|ecoli	61447
awards|part_collection	61746
proteindomain|binding	17740
cds|reporter	32121
regulation regulator	73816
classic|reporter|pret	8474
chassis|prokaryote|ecoli	23385
chassis|prokaryote|mflorum	15296
function|reporter|fluorescence	21100
function|biosynthesis	12437
dna|aptamer	7856
direction|forward	9628
cds	65482
classic|intermediate|uncategorized	3857
chassis|prokaryote|Bsubtilis	11802
classic|intermediate|uncategorized	2829
cds|reporter|cfp	51109
chassis|prokaryote|ecoli	7185
promoter	11976
cds|biosynthesis	45500
regulation|constitutive	6375
regulation|multiple	9643
chassis|prokaryote|ecoli	48144
rbs|prokaryote|constitutive|community	43029
promoter|logic|ustc	9878
